feature,pred_0,pred_1
CERTHHSZ,0.03,-0.03
FSGA,0.0,-0.0
LIQRESOR,-0.02,0.02
FSUNEARN,0.02,-0.02
FSERNDED,-0.01,0.01
FSASSET,-0.03,0.03
FSTOTDED,-0.05,0.05
FSSLTDE2,0.01,-0.01
TPOV,-0.0,0.0
FSEARN,-0.01,0.01
FSGRINC,-0.0,0.0
FSDIS,-0.0,0.0
FSNELDER,-0.0,0.0
FSSLTDED,0.12,-0.12
FSNONCIT,0.01,-0.01
FSSSI,0.01,-0.01
HWGT,0.05,-0.05
RAWNET,-0.0,0.0
FSTANF,0.03,-0.03
FSERNDE2,-0.01,0.01
FSNETINC,-0.01,0.01
FSSTDDE2,0.05,-0.05
FSUSIZE,0.04,-0.04
FSTOTDE2,0.01,-0.01
RAWERND,-0.01,0.01
SHELDED,0.09,-0.09
WRK_POOR,-0.01,0.01
FSWAGES,-0.01,0.01
REALPROP,0.0,0.0
TANF_IND,0.02,-0.02
VEHICLEA,0.01,-0.01
FSVEHAST,0.0,0.0
