state,SHELDED,FSSLTDED,HWGT,CERTHHSZ,FSTOTDED,FSUNEARN,FSNONCIT,TANF_IND,FSASSET,FSSTDDE2,LIQRESOR,VEHICLEA,FSTANF,FSUSIZE,FSTOTDE2
Connecticut,584,584,3575,1,744,920,0,0,0,240,0,1,0,1,744
Connecticut,968,969,3704,1,1171,1197,0,0,0,240,0,1,0,1,1171
Connecticut,969,969,3521,1,1129,1278,0,0,0,240,0,1,0,1,1129
Connecticut,0,0,3216,1,160,0,0,0,0,0,0,1,0,1,0
Connecticut,802,802,3527,1,962,1113,0,0,0,240,0,1,0,1,962
Connecticut,728,546,4416,1,1049,0,0,0,0,240,0,1,0,1,1049
Connecticut,535,535,2763,3,2299,860,0,0,0,24,0,4,0,3,2163
Connecticut,576,576,3778,1,736,1011,0,0,0,240,0,1,0,1,736
Connecticut,1054,1054,3216,1,1214,909,0,0,0,0,0,1,0,1,909
Connecticut,0,0,2763,3,160,26,0,0,0,26,0,4,0,3,26
Connecticut,966,966,3541,1,1172,1331,0,0,0,240,0,1,0,1,1172
Connecticut,696,696,4022,1,856,1250,0,0,0,240,0,1,0,1,856
Connecticut,535,535,2962,2,695,515,0,0,0,44,0,1,0,2,515
Connecticut,535,535,3466,1,899,0,0,0,0,160,0,1,0,1,899
Connecticut,535,535,2962,2,695,200,0,0,0,0,0,4,0,2,200
Connecticut,517,535,3216,1,695,650,0,0,0,115,0,4,0,1,650
Connecticut,1341,1341,3216,1,1501,1245,0,0,0,0,0,4,0,1,1245
Connecticut,535,535,4294,6,843,1332,0,0,0,266,0,4,0,6,843
Connecticut,335,335,3770,4,765,0,0,0,0,255,0,1,0,4,765
Connecticut,535,535,4589,2,1068,0,0,0,0,160,0,1,0,2,1068
Connecticut,0,0,4389,1,160,735,0,0,0,160,0,1,0,1,160
Connecticut,535,535,3805,1,940,0,0,0,0,160,0,4,0,1,940
Connecticut,535,535,3216,1,808,0,0,0,0,0,0,1,0,1,568
Connecticut,831,831,3216,1,991,754,0,0,0,3,0,1,0,1,754
Connecticut,226,226,4280,1,386,909,0,0,0,240,0,1,0,1,386
Connecticut,561,561,3277,1,908,0,0,0,0,240,0,1,0,1,908
Connecticut,452,452,3312,3,612,879,0,1,0,240,0,1,487,3,612
Connecticut,1053,535,2962,2,728,219,0,0,0,0,0,4,0,2,387
Connecticut,535,535,4024,3,1023,0,0,0,0,160,0,1,0,3,1023
Connecticut,0,0,3216,1,160,0,0,0,0,0,0,1,0,1,0
Connecticut,535,535,2962,2,695,0,0,0,0,0,0,1,0,2,0
Connecticut,535,535,2763,3,695,647,0,1,0,112,0,1,597,3,647
Connecticut,945,945,3216,1,1105,826,0,0,0,0,0,1,0,1,826
Connecticut,0,0,3216,1,160,0,0,0,0,0,0,1,0,1,0
Connecticut,0,0,2672,4,170,0,0,0,0,0,0,5,0,4,0
Connecticut,321,321,4252,4,491,1267,0,0,0,255,0,1,0,4,491
Connecticut,0,0,3216,1,160,0,0,0,0,0,0,1,0,1,0
Connecticut,741,741,3216,1,901,735,0,0,0,74,0,4,0,1,735
Connecticut,535,535,2672,4,705,0,0,0,0,0,0,1,0,4,0
Connecticut,535,535,3698,3,1456,0,0,0,0,160,0,1,0,3,1456
Connecticut,648,648,3216,1,808,755,0,0,0,187,0,1,0,1,755
Connecticut,535,535,2763,3,695,533,0,0,0,68,0,4,0,3,533
Connecticut,535,535,4295,3,861,782,0,0,0,160,0,4,0,3,861
Connecticut,596,596,3887,1,756,1085,0,0,0,240,0,1,0,1,756
Connecticut,535,535,2672,4,705,0,1,0,0,0,0,5,0,4,0
Connecticut,572,571,3270,1,731,756,0,0,0,240,0,4,0,1,731
Connecticut,0,0,3216,1,160,0,0,0,0,0,0,1,0,1,0
Connecticut,491,491,4416,1,651,1260,0,0,0,240,0,1,0,1,651
Connecticut,573,573,5247,2,733,2370,0,0,0,240,0,1,0,2,733
Connecticut,535,535,3216,1,799,0,0,0,0,0,0,1,0,1,521
Connecticut,535,535,3216,1,867,0,0,0,0,153,0,1,0,1,860
Connecticut,781,781,5125,2,941,2004,1,0,0,240,0,1,0,2,941
Connecticut,388,388,4621,3,1287,0,0,0,0,240,0,1,0,3,1287
Connecticut,0,0,3216,1,160,0,0,0,0,0,0,1,0,1,0
Connecticut,587,587,3256,1,747,765,0,0,0,240,0,1,0,1,747
Connecticut,630,630,3216,1,790,735,0,0,0,185,0,1,0,1,735
Connecticut,570,570,3216,1,730,676,0,0,0,186,0,1,0,1,676
Connecticut,602,516,4366,2,676,1364,0,0,0,240,0,3,0,2,676
Connecticut,539,539,4416,1,1095,103,0,0,0,240,0,1,0,1,1095
Connecticut,0,0,3216,1,160,0,0,0,0,0,0,1,0,1,0
Connecticut,675,675,3216,1,835,717,0,0,0,122,0,1,0,1,717
Connecticut,0,0,3216,1,160,0,0,0,0,0,0,5,0,1,0
Connecticut,535,535,4020,2,1328,0,0,0,0,160,0,5,0,2,1328
Connecticut,535,535,2763,3,833,0,0,0,0,18,0,4,0,3,691
Connecticut,484,484,4206,1,644,1128,0,0,0,240,0,1,0,1,644
Connecticut,631,631,3724,1,791,994,0,0,0,240,0,1,0,1,791
Connecticut,873,873,4134,1,1128,989,0,0,0,240,0,1,0,1,1128
Connecticut,535,535,2751,2,695,162,0,1,0,0,0,1,162,2,162
Connecticut,684,684,3434,1,844,949,0,0,0,240,0,1,0,1,844
Connecticut,535,535,3114,1,695,0,0,0,0,0,0,1,0,1,0
Connecticut,700,700,3444,1,860,967,0,0,0,240,0,5,0,1,860
Connecticut,0,0,3114,1,160,0,0,0,0,0,0,4,0,1,0
Connecticut,0,0,3114,1,160,0,0,0,0,0,0,1,0,1,0
Connecticut,535,535,3114,1,695,0,0,0,0,0,0,4,0,1,0
Connecticut,890,883,2751,2,1043,751,0,0,0,0,0,4,0,2,751
Connecticut,763,763,3114,1,923,490,0,0,0,0,0,4,0,1,490
Connecticut,1227,1278,3114,1,1786,909,0,0,0,0,0,1,0,1,1409
Connecticut,1101,1101,3114,1,1261,715,0,0,0,0,0,1,0,1,715
Connecticut,315,316,5081,7,544,1445,0,0,0,342,0,1,0,7,544
Connecticut,535,535,3114,1,833,0,0,0,0,80,0,1,0,1,693
Connecticut,535,535,3114,1,695,0,0,0,0,0,0,4,0,1,0
Connecticut,606,606,4734,1,766,1305,0,0,0,240,0,1,0,1,766
Connecticut,535,535,3114,1,695,0,0,0,0,0,0,1,0,1,0
Connecticut,535,535,5993,2,1138,0,0,0,0,160,0,4,0,2,1138
Connecticut,1182,1182,2384,5,1381,1242,0,1,0,160,0,1,487,5,1242
Connecticut,675,675,4052,2,835,1266,1,0,0,240,0,1,0,2,835
Connecticut,458,458,3882,2,866,0,0,0,0,240,0,4,0,2,866
Connecticut,552,552,3734,1,712,917,0,0,0,240,0,1,0,1,712
