state,FSSLTDED,SHELDED,HWGT,FSTOTDED,FSSTDDE2,FSUSIZE,FSASSET,CERTHHSZ,FSTANF,FSUNEARN,TANF_IND,LIQRESOR,FSNONCIT,FSEARN,FSSLTDE2
Alabama,211,224,3826,477,169,2,0,2,3,463,0,0,0,351,175
Alaska,255,252,834,637,222,2,154,2,55,537,0,154,0,444,165
Arizona,194,194,5353,471,140,2,0,2,3,362,0,0,0,456,155
Arkansas,132,129,1807,377,162,2,115,2,1,498,0,92,0,305,111
California,330,314,29938,592,125,2,0,2,98,333,0,0,0,439,234
Colorado,340,341,3335,592,152,2,0,2,27,474,0,0,0,345,259
Connecticut,500,510,3138,737,128,1,0,1,27,581,0,0,0,282,387
Delaware,237,222,1218,513,157,2,0,2,11,494,0,0,0,446,196
District of Columbia,260,235,865,470,129,1,0,1,63,436,0,0,0,203,134
Florida,311,309,19742,572,165,1,0,1,5,499,0,0,0,391,272
Georgia,225,223,8391,481,146,2,0,2,1,461,0,0,0,310,182
Guam,80,245,429,600,257,3,0,3,8,172,0,0,0,774,48
Hawaii,120,115,1546,434,222,1,0,1,30,546,0,0,0,346,103
Idaho,227,330,842,514,171,2,63,2,3,476,0,42,0,431,177
Illinois,257,247,13933,518,139,1,0,1,5,428,0,0,0,356,215
Indiana,258,246,3627,520,170,2,32,2,1,485,0,32,0,377,211
Iowa,223,222,2131,510,163,2,1,2,14,482,0,1,0,480,170
Kansas,276,263,1307,551,174,2,152,2,8,485,0,147,0,388,217
Kentucky,163,156,3318,399,154,2,0,2,10,474,0,0,0,281,132
Louisiana,213,208,6281,449,153,2,82,2,1,430,0,82,0,259,174
Maine,416,415,1119,655,184,1,261,1,26,703,0,217,0,325,376
Maryland,259,261,5320,554,152,1,0,1,28,507,0,0,0,382,215
Massachusetts,457,473,5550,719,140,1,0,1,29,633,0,0,0,261,366
Michigan,365,358,9548,639,144,1,28,1,6,513,0,28,0,373,274
Minnesota,308,302,2545,583,166,1,0,1,0,580,0,0,0,425,246
Mississippi,162,161,2780,414,148,2,0,2,3,428,0,0,0,317,132
Missouri,259,250,4369,525,160,2,129,2,5,501,0,128,0,294,203
Montana,319,308,904,595,161,2,0,2,37,480,0,0,0,448,259
Nebraska,289,286,1040,569,163,2,64,2,19,494,0,63,0,439,217
Nevada,194,183,2964,454,141,1,0,1,12,388,0,0,0,398,152
New Hampshire,383,382,823,632,167,1,134,1,42,707,0,130,0,320,326
New Jersey,380,381,6210,649,169,1,0,1,6,595,0,0,0,408,321
New Mexico,200,199,2689,457,152,2,0,2,17,395,0,0,0,389,160
New York,505,514,20324,770,147,1,0,1,32,639,0,0,0,342,391
North Carolina,259,251,7051,548,154,2,0,2,3,437,0,0,0,485,208
North Dakota,343,335,641,646,150,2,0,2,14,496,0,0,0,375,271
Ohio,306,301,8730,554,164,1,0,1,13,564,0,0,0,342,254
Oklahoma,192,188,3068,441,150,2,0,2,3,398,0,0,0,334,147
Oregon,304,304,4860,561,145,1,0,1,20,488,0,0,0,315,244
Pennsylvania,413,415,14056,672,155,1,0,1,12,566,0,0,0,373,327
Rhode Island,452,464,1546,697,152,1,0,1,22,609,0,0,0,280,356
South Carolina,189,186,3592,455,152,2,0,2,7,471,0,0,0,320,152
South Dakota,348,347,676,623,132,2,286,2,30,445,0,253,0,365,261
Tennessee,160,158,5409,391,146,1,137,1,5,431,0,137,0,243,142
Texas,250,250,22052,540,170,2,0,2,3,435,0,0,0,470,208
Utah,244,234,1031,528,159,2,214,2,14,428,0,212,0,473,198
Vermont,648,650,717,918,145,1,0,1,37,749,0,0,0,293,504
Virgin Islands,68,60,702,341,126,2,0,2,6,271,0,0,0,402,47
Virginia,195,191,5276,448,169,2,161,2,14,524,0,161,0,291,164
Washington,304,306,7074,562,139,1,0,1,18,457,0,0,0,364,230
West Virginia,220,231,2279,448,155,1,0,1,3,529,0,0,0,271,162
Wisconsin,281,275,4038,571,165,2,0,2,10,558,0,0,0,458,230
Wyoming,254,254,497,557,165,2,187,2,2,460,0,168,0,430,192
