FSGA,TANF_IND,REALPROP,FSTOTDE2,FSNONCIT,HWGT,TPOV,FSTANF,FSUNEARN,FSGRINC,FSTOTDED,FSWAGES,FSUSIZE,CERTHHSZ,LIQRESOR,FSDIS,RAWERND,FSNETINC,FSERNDED,FSSLTDED,WRK_POOR,FSERNDE2,FSEARN,FSSLTDE2,FSSTDDE2,FSNELDER,SHELDED,FSSSI,FSASSET,RAWNET,CAT_ELIG,VEHICLEA,FSVEHAST
0.0,1.0,0.0,305.0,0.0,902.3652690692352,66.0,310.0,913.0,913.0,305.0,0.0,3.0,3.0,0.0,1.0,0.0,608.0,0.0,171.0,0.0,0.0,0.0,171.0,201.0,0.0,172.0,603.0,0.0,607.0,1.0,1.0,0.0
0.0,0.0,0.0,740.0,0.0,987.9280819007809,66.0,0.0,0.0,1477.0,740.0,1477.0,6.0,6.0,0.0,0.0,295.0,737.0,295.0,76.0,1.0,371.0,1477.0,76.0,262.0,0.0,76.0,0.0,0.0,737.0,0.0,1.0,0.0
0.0,1.0,0.0,551.0,0.0,710.0141901614803,41.0,389.0,569.0,569.0,551.0,0.0,3.0,3.0,0.0,0.0,0.0,18.0,0.0,417.0,0.0,0.0,0.0,417.0,134.0,0.0,417.0,0.0,0.0,18.0,1.0,1.0,0.0
0.0,0.0,0.0,552.0,0.0,1147.1453292917702,112.0,0.0,0.0,1866.0,552.0,1866.0,4.0,4.0,14.0,0.0,373.0,1314.0,373.0,40.0,1.0,413.0,1866.0,40.0,179.0,0.0,40.0,0.0,14.0,1314.0,0.0,1.0,0.0
0.0,0.0,0.0,456.0,0.0,759.4717823678724,74.0,0.0,603.0,603.0,456.0,0.0,1.0,1.0,0.0,0.0,0.0,147.0,0.0,322.0,0.0,0.0,0.0,322.0,201.0,1.0,323.0,603.0,0.0,147.0,1.0,1.0,0.0
0.0,1.0,0.0,372.0,0.0,705.4012962642042,34.0,243.0,243.0,372.0,568.0,129.0,2.0,2.0,0.0,0.0,26.0,0.0,25.0,409.0,1.0,0.0,129.0,213.0,5.0,0.0,410.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,212.0,0.0,845.3233938499369,76.0,0.0,623.0,623.0,212.0,0.0,1.0,1.0,0.0,1.0,0.0,411.0,0.0,78.0,0.0,0.0,0.0,78.0,201.0,0.0,79.0,165.0,0.0,411.0,1.0,1.0,0.0
0.0,0.0,0.0,577.0,0.0,961.580602814927,63.0,0.0,0.0,1234.0,577.0,1234.0,5.0,5.0,0.0,0.0,247.0,657.0,246.0,169.0,1.0,369.0,1234.0,169.0,243.0,0.0,169.0,0.0,0.0,656.0,0.0,1.0,0.0
0.0,0.0,0.0,399.0,0.0,777.946179776418,74.0,0.0,603.0,603.0,399.0,0.0,1.0,1.0,0.0,1.0,0.0,204.0,0.0,265.0,0.0,0.0,0.0,265.0,201.0,0.0,266.0,603.0,0.0,204.0,1.0,1.0,0.0
0.0,0.0,0.0,368.0,0.0,704.580543870799,27.0,0.0,0.0,368.0,624.0,368.0,3.0,3.0,0.0,0.0,74.0,0.0,73.0,417.0,1.0,0.0,368.0,161.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,305.0,0.0,808.3745990311855,74.0,0.0,603.0,603.0,305.0,0.0,1.0,1.0,0.0,1.0,0.0,298.0,0.0,171.0,0.0,0.0,0.0,171.0,201.0,0.0,172.0,603.0,0.0,298.0,1.0,1.0,0.0
0.0,0.0,0.0,394.0,0.0,811.9007636838924,65.0,0.0,0.0,720.0,394.0,720.0,2.0,2.0,0.0,0.0,144.0,326.0,144.0,91.0,1.0,216.0,720.0,91.0,201.0,0.0,91.0,0.0,0.0,326.0,0.0,1.0,0.0
0.0,0.0,0.0,134.0,1.0,869.2314375616089,78.0,0.0,638.0,638.0,134.0,0.0,1.0,1.0,0.0,1.0,0.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,504.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,0.0,0.0,134.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,142.0,0.0,747.5177605149188,31.0,209.0,209.0,251.0,142.0,42.0,1.0,1.0,0.0,0.0,8.0,109.0,8.0,0.0,1.0,8.0,42.0,0.0,134.0,0.0,0.0,0.0,0.0,109.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,0.0,0.0,134.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,787.0,0.0,771.1370055586899,57.0,0.0,258.0,946.0,787.0,688.0,4.0,4.0,0.0,0.0,138.0,159.0,137.0,318.0,1.0,205.0,688.0,318.0,208.0,0.0,319.0,0.0,0.0,157.0,0.0,1.0,0.0
0.0,0.0,0.0,346.0,1.0,795.045049260094,35.0,0.0,363.0,578.0,346.0,0.0,4.0,4.0,0.0,0.0,43.0,232.0,43.0,164.0,1.0,65.0,215.0,164.0,209.0,0.0,164.0,0.0,0.0,232.0,0.0,1.0,0.0
0.0,0.0,0.0,637.0,0.0,978.4363172306392,107.0,0.0,0.0,1476.0,637.0,1476.0,3.0,3.0,0.0,0.0,295.0,839.0,295.0,208.0,1.0,442.0,1476.0,208.0,201.0,0.0,209.0,0.0,0.0,838.0,0.0,1.0,0.0
0.0,0.0,0.0,607.0,0.0,1155.8391633729448,117.0,0.0,603.0,1947.0,607.0,1344.0,4.0,4.0,555.0,1.0,269.0,1340.0,268.0,0.0,1.0,268.0,1344.0,0.0,139.0,0.0,0.0,603.0,555.0,1339.0,0.0,1.0,0.0
0.0,0.0,0.0,409.0,0.0,1003.1651133253492,125.0,0.0,0.0,1376.0,409.0,1376.0,2.0,2.0,0.0,0.0,275.0,967.0,275.0,0.0,1.0,275.0,1376.0,0.0,134.0,0.0,0.0,0.0,0.0,967.0,0.0,1.0,0.0
0.0,0.0,0.0,184.0,0.0,747.4949387192786,9.0,0.0,184.0,184.0,383.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,22.0,44.0,0.0,11.0,0.0,5.0,11.0,0.0,1.0,0.0
